OBJECTID,BasinCode,Description,Latitude,Longitude,Ecoregion,Planning_Segment,WebData,County,HUC8,Basin,Status,Title,AssessmentUnit,x,y
1,AFS0001,Alum Fork Saline River at Hwy 5 E. of Crows ,34.62,-92.75,OUMT,2C,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=AFS0001#display,63,08040203,AFS0001,A,Water Quality Monitoring Station,AR_08040203_714,-10324794.328,4111873.933
2,ARK0001,Little Sugar Creek by I71 at Caverna MO,36.50,-94.27,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0001#display,00,11070208,ARK0001,A,Water Quality Monitoring Station,AR_11070208_003,-10494545.741,4370056.642
3,ARK0001A,Town Br McKisic Cr @ Bentonville AR,36.41,-94.22,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0001A#display,04,11070208,ARK0001A,I,Water Quality Monitoring Station,AR_11070208_903,-10488734.721,4357614.095
4,ARK0002,Butler Creek off SR59 on CR SW5968 near Sulphur Springs,36.51,-94.48,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0002#display,00,11070208,ARK0002,I,Water Quality Monitoring Station,AR_11070208_004,-10517655.208,4371330.943
5,ARK0003,Spavinaw Creek on SR43 3.5 miles N of Cherokee City,36.34,-94.59,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0003#display,04,11070209,ARK0003,A,Water Quality Monitoring Station,AR_11070209_048,-10529433.307,4347769.723
6,ARK0003A,Spavinaw Cr N of Sycamore OK.,36.32,-94.68,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0003A#display,04,11110103,ARK0003A,I,Water Quality Monitoring Station,,-10540286.518,4345158.332
7,ARK0004,Flint Cr N of Siloam Springs AR,36.23,-94.56,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0004#display,04,11110103,ARK0004,I,Water Quality Monitoring Station,AR_11110103_934,-10525882.043,4332509.442
8,ARK0004A,Flint Creek on CR DO553 Rd 4 miles NW of W Siloam Springs OK,36.22,-94.60,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0004A#display,00,11110103,ARK0004A,A,Water Quality Monitoring Station,AR_11110103_031,-10531092.839,4330543.809
9,ARK0005,Sager Creek on Beaver Springs Rd 2 miles NW of Siloam Springs AR,36.20,-94.58,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0005#display,00,11110103,ARK0005,A,Water Quality Monitoring Station,AR_11110103_932,-10528995.066,4328029.729
10,ARK0006,Illinois River on SR59 5 miles S of Siloam Springs,36.11,-94.53,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0006#display,04,11110103,ARK0006,A,Water Quality Monitoring Station,AR_11110103_020,-10523528.118,4315687.805
11,ARK0006A,Illinois River on SR16 4 miles SE of Siloam Springs,36.14,-94.49,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0006A#display,04,11110103,ARK0006A,I,Water Quality Monitoring Station,AR_11110103_022,-10519102.413,4320550.946
12,ARK0006B,Illinois River on Fisher Ford Rd/CR2 3 miles SE of Siloam Springs,36.12,-94.52,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0006B#display,04,11110103,ARK0006B,A,Water Quality Monitoring Station,,-10521498.29,4317536.593
13,ARK0007,Barren Fork on SR59 N in Dutch Mills,35.88,-94.49,BOMT,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0007#display,72,11110103,ARK0007,I,Water Quality Monitoring Station,AR_11110103_013,-10518178.372,4284123.124
14,ARK0007A,Barren Fork on SR45 E in Dutch Mills,35.88,-94.47,BOMT,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0007A#display,72,11110103,ARK0007A,A,Water Quality Monitoring Station,AR_11110103_013,-10516168.078,4283681.317
15,ARK0008,Lee Creek at SR59 in Natural Dam,35.65,-94.39,BOMT,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0008#display,17,11110104,ARK0008,I,Water Quality Monitoring Station,AR_11110104_005,-10507892.491,4252021.073
16,ARK0009,Lee Cr @ Van Buren AR,35.46,-94.39,ARRV,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0009#display,17,11110104,ARK0009,I,Water Quality Monitoring Station,AR_11110104_902,-10507325.073,4227104.243
17,ARK0009A,Lee Cr @ Van Buren AR,35.49,-94.45,ARRV,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0009A#display,17,11110104,ARK0009A,I,Water Quality Monitoring Station,AR_11110104_902,-10513815.001,4231273.632
18,ARK0010A,Clear Creek AB Fayetteville AR,36.13,-94.16,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0010A#display,72,11110103,ARK0010A,I,Water Quality Monitoring Station,AR_11110103_029,-10481443.578,4318221.626
19,ARK0010B,Clear Creek BL Fayetteville AR,36.13,-94.16,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0010B#display,72,11110103,ARK0010B,I,Water Quality Monitoring Station,AR_11110103_029,-10481532.754,4318290.499
20,ARK0010C,Clear Creek at Hwy. 112 Bridge,36.13,-94.20,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0010C#display,72,11110103,ARK0010C,A,Water Quality Monitoring Station,AR_11110103_029,-10486541.724,4319131.292
21,ARK0011A,Short Mountain Creek on SR22 in Paris,35.29,-93.74,ARRV,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0011A#display,42,11110202,ARK0011A,I,Water Quality Monitoring Station,AR_11110202_043,-10434869.628,4203644.647
22,ARK0011B,Short Mountain Creek on Short Mountain Rd N of Paris,35.31,-93.74,ARRV,3H,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0011B#display,42,11110202,ARK0011B,A,Water Quality Monitoring Station,AR_11110202_043,-10435512.549,4206049.059
23,ARK0012A,McKisic Creek AB Bentonville AR,36.42,-94.21,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0012A#display,04,11070208,ARK0012A,I,Water Quality Monitoring Station,,-10487810.786,4359108.211
24,ARK0012B,McKisic Creek BL Bentonville AR,36.42,-94.21,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0012B#display,04,11070208,ARK0012B,I,Water Quality Monitoring Station,,-10487899.963,4358374.666
25,ARK0013A,Sager Creek AB Siloam Springs AR,36.20,-94.56,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0013A#display,04,11110103,ARK0013A,I,Water Quality Monitoring Station,AR_11110103_932,-10526783.488,4327500.884
26,ARK0013B,Sager Creek BL Siloam Springs AR,36.19,-94.57,OZHI,3J,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0013B#display,04,11110103,ARK0013B,I,Water Quality Monitoring Station,AR_11110103_932,-10526972.882,4327032.049
27,ARK0014,Poteau River just off SR9A in Arkoma Park SW of Ft. Smith,35.35,-94.45,ARRV,3I,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0014#display,  ,11110105,ARK0014,A,Water Quality Monitoring Station,AR_11110105_001,-10514516.184,4211193.163
28,ARK0015,James Fork on CR45 1.5 miles S of Hackett,35.16,-94.41,ARRV,3I,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0015#display,66,11110105,ARK0015,A,Water Quality Monitoring Station,AR_11110105_033,-10509362.627,4186000.905
29,ARK0016,Poteau River on CR59 (Walker Mountain Rd) 0.75 miles S of Bates,34.90,-94.39,ARRV,3I,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0016#display,64,11110105,ARK0016,I,Water Quality Monitoring Station,AR_11110105_027,-10507347.234,4149882.02
30,ARK0017,Bayou Meto near Stuttgart AR,34.45,-91.62,DELT,3B,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0017#display,01,08020402,ARK0017,I,Water Quality Monitoring Station,AR_08020402_005,-10198657.908,4089955.217
31,ARK0018,Cadron Cr W of Conway AR,35.11,-92.52,ARRV,3D,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0018#display,15,11110205,ARK0018,I,Water Quality Monitoring Station,AR_11110205_001,-10299525.092,4179480.272
32,ARK0019,East Fork Cadron Creek N of Conway AR,35.16,-92.40,ARRV,3D,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0019#display,23,11110205,ARK0019,I,Water Quality Monitoring Station,AR_11110205_002,-10285877.682,4185345.928
33,ARK0020,Arkansas River at Lock and Dam No. 2,33.99,-91.32,DELT,3A,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0020#display,01,08020401,ARK0020,A,Water Quality Monitoring Station,AR_08020401_001,-10165275.298,4026819.713
34,ARK0021,Bayou Two Prairie S of Cabot AR,34.86,-91.98,DELT,3B,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0021#display,43,08020402,ARK0021,I,Water Quality Monitoring Station,AR_08020402_306,-10239078.672,4144954.136
35,ARK0022,Bayou Meto on SR31 3 miles S of Lonoke,34.74,-91.92,DELT,3B,https://www.adeq.state.ar.us/techsvs/env_multi_lab/water_quality_station.aspx?t_stationid=ARK0022#display,43,08020402,ARK0022,I,Water Quality Monitoring Station,AR_08020402_007,-10232054.106,4128076.523
